Autokennzeichen;Stadt/Ort;Landkreis/Gemeinde;Bundesland
SHL;Suhl;Stadt Suhl;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
SI;Siegen;Kreis Siegen-Wittgenstein;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
SIG;Sigmaringen;Landkreis Sigmaringen;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
SIM;Simmern/Hunsrück;Rhein-Hunsrück-Kreis;"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
SK;Saalekreis;Saalekreis;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
SL;Schleswig;Kreis Schleswig-Flensburg;"Schleswig-Holstein <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Schleswig-Holstein.svg"" class=""flagfull"" alt=""Schleswig-Holstein"" />"
SLE*;Schleiden;Kreis Euskirchen;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
SLF;Saalfeld/Saale;Landkreis Saalfeld-Rudolstadt;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
SLK;Salzlandkreis;Salzlandkreis;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
SLN*;Schmölln;Landkreis Altenburger Land;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
SLS;Saarlouis;Landkreis Saarlouis;"Saarland <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Saarland.svg"" class=""flagfull"" alt=""Saarland"" />"
SLÜ*;Schlüchtern;Main-Kinzig-Kreis ohne Hanau;"Hessen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Hessen.svg"" class=""flagfull"" alt=""Hessen"" />"
SLZ*;Bad Salzungen;Wartburgkreis;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
SM;Schmalkalden-Meiningen;Landkreis Schmalkalden-Meiningen;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
SN;Schwerin;Stadt Schwerin;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
SO;Soest;Kreis Soest;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
SOB*;Schrobenhausen;Landkreis Neuburg-Schrobenhausen;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
SOG*;Schongau;Landkreis Weilheim-Schongau;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
SOK;Saale-Orla-Kreis;Saale-Orla-Kreis;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
SÖM;Sömmerda;Landkreis Sömmerda;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
SON;Sonneberg;Landkreis Sonneberg;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
SP;Speyer;Stadt Speyer;"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
SPB*;Spremberg;Landkreis Spree-Neiße;"Brandenburg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Brandenburg.svg"" class=""flagfull"" alt=""Brandenburg"" />"
SPN;Spree-Neiße;Landkreis Spree-Neiße;"Brandenburg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Brandenburg.svg"" class=""flagfull"" alt=""Brandenburg"" />"
SR;Straubing-Bogen;Landkreis Straubing-Bogen & Stadt Straubing;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
SRB*;Strausberg;Landkreis Märkisch-Oderland;"Brandenburg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Brandenburg.svg"" class=""flagfull"" alt=""Brandenburg"" />"
SRO*;Stadtroda;Saale-Holzland-Kreis;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
ST;Steinfurt;Kreis Steinfurt;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
STA;Starnberg;Landkreis Starnberg;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
STB*;Sternberg;Landkreis Ludwigslust-Parchim;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
STD;Stade;Landkreis Stade;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
STE*;Bad Staffelstein;Landkreis Lichtenfels;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
STL*;Stollberg/Erzgeb.;Erzgebirgskreis;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
SU;Siegburg;Rhein-Sieg-Kreis;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
SUL*;Sulzbach-Rosenberg;Landkreis Amberg-Sulzbach;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
SÜW;Südliche Weinstraße;Landkreis Südliche Weinstraße;"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
SW;Schweinfurt;Landkreis & Stadt Schweinfurt;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
SWA*;Bad Schwalbach;Rheingau-Taunus-Kreis;"Hessen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Hessen.svg"" class=""flagfull"" alt=""Hessen"" />"
SZ;Salzgitter;Stadt Salzgitter;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
SZB;Schwarzenberg/Erzgeb.;Erzgebirgskreis;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
TBB;Tauberbischofsheim;Main-Tauber-Kreis;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
TDO;Torgau, Delitzsch, Oschatz;Landkreis Nordsachsen;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
TE*;Tecklenburg;Kreis Steinfurt;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
TET*;Teterow;Landkreis Rostock;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
TF;Teltow-Fläming;Landkreis Teltow-Fläming;"Brandenburg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Brandenburg.svg"" class=""flagfull"" alt=""Brandenburg"" />"
TG*;Torgau;Landkreis Nordsachsen;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
THL;Land Thüringen;Landesregierung und Landtag;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
THW;Technisches Hilfswerk;Bundesanstalt Technisches Hilfswerk;bundesweit
TIR;Tirschenreuth;Landkreis Tirschenreuth;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
TO;Torgau-Oschatz;Landkreis Nordsachsen;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
TÖL;Bad Tölz;Landkreis Bad Tölz-Wolfratshausen;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
TR;Trier-Saarburg;Landkreis Trier-Saarburg & Stadt Trier;"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
TS;Traunstein;Landkreis Traunstein;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
TÜ;Tübingen;Landkreis Tübingen;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
TUT;Tuttlingen;Landkreis Tuttlingen;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
UE;Uelzen;Landkreis Uelzen;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
UEM*;Ueckermünde;Landkreis Vorpommern-Greifswald ohne Greifswald;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
UFF*;Uffenheim;Landkreis Neustadt an der Aisch-Bad Windsheim;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
UH;Unstrut-Hainich;Unstrut-Hainich-Kreis;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
UL;Ulm;Alb-Donau-Kreis & Stadt Ulm;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
UM;Uckermark;Landkreis Uckermark;"Brandenburg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Brandenburg.svg"" class=""flagfull"" alt=""Brandenburg"" />"
UN;Unna;Kreis Unna;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
USI*;Usingen;Hochtaunuskreis;"Hessen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Hessen.svg"" class=""flagfull"" alt=""Hessen"" />"
V;Vogtland;Vogtlandkreis;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
VB;Vogelsberg;Vogelsbergkreis;"Hessen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Hessen.svg"" class=""flagfull"" alt=""Hessen"" />"
VEC;Vechta;Landkreis Vechta;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
VER;Verden (Aller);Landkreis Verden;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
VG;Vorpommern, Greifswald;Landkreis Vorpommern-Greifswald ohne Greifswald;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
VIB*;Vilsbiburg;Landkreis Rottal-Inn;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
VIE;Viersen;Kreis Viersen;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
VK;Völklingen;Stadt Völklingen;"Saarland <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Saarland.svg"" class=""flagfull"" alt=""Saarland"" />"
VOH*;Vohenstrauß;Landkreis Neustadt an der Waldnaab;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
VR;Vorpommern, Rügen;Landkreis Vorpommern-Rügen ohne Stralsund;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
VS;Villingen-Schwenningen;Schwarzwald-Baar-Kreis;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
W;Wuppertal;Stadt Wuppertal;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
WAF;Warendorf;Kreis Warendorf;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
WAK;Wartburgkreis;Wartburgkreis;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
WAN*;Wanne-Eickel;Stadt Herne;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
WAT*;Wattenscheid;Stadt Bochum;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
WB;Wittenberg;Landkreis Wittenberg;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
WBS*;Worbis;Landkreis Eichsfeld;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
WDA*;Werdau;Landkreis Zwickau;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
WE;Weimar;Stadt Weimar;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
WEL*;Weilburg;Landkreis Limburg-Weilburg;"Hessen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Hessen.svg"" class=""flagfull"" alt=""Hessen"" />"
WEN;Weiden in der Oberpfalz;Stadt Weiden in der Oberpfalz;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
WER*;Wertingen;Landkreis Dillingen an der Donau;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
WES;Wesel;Kreis Wesel;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
WF;Wolfenbüttel;Landkreis Wolfenbüttel;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
WHV;Wilhelmshaven;Stadt Wilhelmshaven;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
WI;Wiesbaden;Stadt Wiesbaden;"Hessen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Hessen.svg"" class=""flagfull"" alt=""Hessen"" />"
WIL;Wittlich;Landkreis Bernkastel-Wittlich;"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
WIS*;Wismar*;Landkreis Nordwestmecklenburg;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
WIT*;Witten;Ennepe-Ruhr-Kreis;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
WIZ*;Witzenhausen;Werra-Meißner-Kreis;"Hessen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Hessen.svg"" class=""flagfull"" alt=""Hessen"" />"
WK*;Wittstock/Dosse;Landkreis Ostprignitz-Ruppin;"Brandenburg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Brandenburg.svg"" class=""flagfull"" alt=""Brandenburg"" />"
WL;Winsen (Luhe);Landkreis Harburg;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
WLG*;Wolgast;Landkreis Vorpommern-Greifswald ohne Greifswald;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
WM;Weilheim in Oberbayern;Landkreis Weilheim-Schongau;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
WMS*;Wolmirstedt;Landkreis Börde;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
WN;Waiblingen;Rems-Murr-Kreis;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
WND;St. Wendel;Landkreis St. Wendel;"Saarland <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Saarland.svg"" class=""flagfull"" alt=""Saarland"" />"
WO;Worms;Stadt Worms;"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
WOB;Wolfsburg;Stadt Wolfsburg;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
WOH*;Wolfhagen;Landkreis Kassel;"Hessen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Hessen.svg"" class=""flagfull"" alt=""Hessen"" />"
WOR*;Wolfratshausen;Landkreise Bad Tölz-Wolfratshausen, München & Starnberg;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
WOS;Wolfstein;Landkreis Freyung-Grafenau;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
WR;Wernigerode;Landkreis Harz;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
WRN*;Waren (Müritz);Landkreis Mecklenburgische Seenplatte ohne Neubrandenburg;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
WS*;Wasserburg am Inn;Landkreis Rosenheim;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
WSF*;Weißenfels;Burgenlandkreis;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
WST;Westerstede;Landkreis Ammerland;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
WSW*;Weißwasser;Landkreis Görlitz;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
WT;Waldshut-Tiengen;Landkreis Waldshut;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
WTM;Wittmund;Landkreis Wittmund;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
WÜ;Würzburg;Stadt & Landkreis Würzburg;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
WUG;Weißenburg in Bayern;Landkreis Weißenburg-Gunzenhausen;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
WÜM*;Waldmünchen;Landkreis Cham;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
WUN;Wunsiedel;Landkreis Wunsiedel im Fichtelgebirge;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
WUR*;Wurzen;Landkreis Leipzig;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
WW;Westerwald;Westerwaldkreis;"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
WZ;Wetzlar;Stadt Wetzlar;"Hessen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Hessen.svg"" class=""flagfull"" alt=""Hessen"" />"
WZL*;Wanzleben;Landkreis Börde;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
X;Internationale Hauptquartiere (NATO);;bundesweit
Y;Bundeswehr;;bundesweit
Z;Zwickau;Landkreis Zwickau;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
ZE;Zerbst/Anhalt;Landkreis Anhalt-Bitterfeld;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
ZEL*;Zell (Mosel);Landkreis Cochem-Zell;"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
ZI*;Zittau;Landkreis Görlitz;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
ZP*;Zschopau;Erzgebirgskreis;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
ZR*;Zeulenroda;Landkreis Greiz;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
ZW;Zweibrücken;Stadt Zweibrücken;"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
ZZ*;Zeitz;Burgenlandkreis;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
